JINA_ID,Priority,Ref,Name,Simbad_Identifier,NLTE,Sci_key,C_key,Loc,Type,RA,DEC,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
,,Roederer+2010,,,*,*,*,,,3 6 29.510400000000523,-54 30 32.543999999995776,,,,,,,,,,,,,-3.56,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,-2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,22 36 56.299199999996006,-28 31 6.492000000002349,,,,,,,,,,,,,-3.04,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,,,,-1.14,,,,,,,,,,,,,,,,,-2.94,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,22 31 2.1864000000016404,-32 38 36.49200000000235,,,,,,,,,,,,,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,-0.17,,,,,,,,,,,,-0.75,,,,,-0.96,,,,,,,,,,,,,,,,0.35,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,21 36 33.27840000000123,-28 18 48.56400000000576,,,,,,,,,,,,,-2.82,,,,,,,,,,,,,,,,,,,,,,,,,1.93,,,,,,,-1.02,,,,,,,,,,,,-2.17,,,,,-2.39,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,0 28 6.924000000000063,-26 3 4.2119999999965785,,,,,,,,,,,,,-2.66,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,0.3,,,,,,,,,,,,-0.38,,,,,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,22 26 15.359999999999161,2 51 46.295999999999964,,,,,,,,,,,,,-3.06,,,,,,,,,,,,,,,,,,,,,,,,,1.74,,,,,,,-1.59,,,,,,,,,,,,-2.57,,,,,-2.79,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,1 24 10.015199999999851,-28 15 21.09599999999432,,,,,,,,,,,,,-2.78,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,,,,,,-0.63,,,,,,,,,,,,-2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,15 14 18.904799999998403,7 27 2.8079999999998506,,,,,,,,,,,,,-2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,-0.78,,,,,-1.02,,,,,,,,,,,,,,,,0.5,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,3 1 0.6959999999995503,6 16 31.872000000000753,,,,,,,,,,,,,-2.84,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,,,,,,-0.43,,,,,,,,,,,,-1.0,,,,,-1.17,,,,,,,,,,,,,,,,0.25,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,1 29 31.137599999999992,-16 0 45.468000000005304,,,,,,,,,,,,,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,1.88,,,,,,,-0.23,,,,,,,,,,,,-0.62,,,,,-0.72,,,,,,,,,,,,,,,,-0.55,,,,,,,,,,Mohammad
